ID,Rank,Sales
421229,1,136512
242319,2,228230
326903,3,327092
379070,4,426655
385141,5,525828
410796,6,624171
429874,7,722439
415377,8,822316
386669,9,921560
321106,10,1020838
400839,11,1120828
376799,12,1220597
237172,13,1320144
420768,14,1418630
420802,15,1518223
422264,16,1617388
375063,17,1716706
425029,18,1815876
406973,19,1915531
431998,20,2014919
378586,21,2114709
420648,22,2214388
410331,23,2313700
412005,24,2413571
438926,25,2513438
384914,26,2613296
422327,27,2712163
372643,28,2811973
439104,29,2911639
294913,30,3010806
377006,31,3110550
383116,32,3210512
419672,33,339687
394981,34,349508
412118,35,359368
438485,36,368852
379715,37,378750
291216,38,388748
405376,39,398667
408751,40,408221
439096,41,417707
438565,42,427275
404276,43,437127
407832,44,447096
439036,45,456951
245095,46,466893
423664,47,476882
383577,48,486811
438451,49,496743
395385,50,506736
431109,51,516725
434788,52,526704
420461,53,536648
401274,54,546630
436149,55,556513
424813,56,566482
419211,57,575892
438970,58,585716
410156,59,595602
439576,60,605530
393527,61,615485
399171,62,625453
426223,63,635365
434602,64,645190
438419,65,655151
391846,66,665096
407442,67,675094
409994,68,685070
400514,69,695043
424975,70,704914
425017,71,714770
436253,72,724765
437052,73,734764
383535,74,744753
384535,75,754720
438589,76,764637
404319,77,774557
432118,78,784513
388997,79,794464
407799,80,804264
394608,81,814257
433898,82,824234
400192,83,834222
423542,84,844171
401363,85,854138
432110,86,864130
419882,87,874102
425308,88,884014
395736,89,893963
439451,90,903946
438811,91,913926
384539,92,923899
414226,93,933884
386215,94,943793
409966,95,953693
436396,96,963681
394428,97,973663
386514,98,983630
397676,99,993621
379104,100,1003607
438869,101,1013588
438486,102,1023548
399016,103,1033543
403784,104,1043537
436832,105,1053509
367075,106,1063469
437968,107,1073469
397195,108,1083422
407245,109,1093404
360017,110,1103366
383301,111,1113363
403316,112,1123356
439577,113,1133348
426155,114,1143334
424209,115,1153328
422138,116,1163271
427037,117,1173255
438558,118,1183230
398874,119,1193184
402750,120,1203174
416469,121,1213174
439553,122,1223165
438815,123,1233145
421307,124,1243136
434197,125,1253136
436046,126,1263136
399267,127,1273130
379765,128,1283111
435534,129,1293085
422123,130,1303081
437278,131,1313062
438183,132,1322996
375752,133,1332963
437972,134,1342956
430671,135,1352955
379502,136,1362939
420549,137,1372896
405515,138,1382894
394670,139,1392877
421588,140,1402837
428047,141,1412837
394049,142,1422825
428140,143,1432804
437814,144,1442797
434597,145,1452787
409296,146,1462780
376844,147,1472757
384543,148,1482737
366467,149,1492712
419631,150,1502706
306936,151,1512703
437717,152,1522700
399689,153,1532694
438461,154,1542669
420764,155,1552664
414955,156,1562655
438890,157,1572616
430697,158,1582609
435589,159,1592600
439579,160,1602592
384603,161,1612573
