ID,Rank,Sales
448739,1,15155
448841,2,21667
412118,3,31327
448615,4,41280
448914,5,51122
447147,6,6980
386544,7,7962
448746,8,8943
448217,9,9900
448277,10,10810
447881,11,11789
379704,12,12687
291216,13,13663
420768,14,14620
447846,15,15582
448632,16,16575
410796,17,17540
448499,18,18540
440380,19,19506
448993,20,20457
400192,21,21447
448404,22,22419
447084,23,23416
440044,24,24383
447080,25,25375
375063,26,26372
381338,27,27369
436149,28,28367
420648,29,29353
431998,30,30353
448407,31,31348
388997,32,32346
447150,33,33339
449041,34,34332
448091,35,35323
403060,36,36322
421229,37,37315
377006,38,38314
446694,39,39312
441650,40,40308
446593,41,41305
419882,42,42303
448708,43,43303
446997,44,44301
441775,45,45300
447573,46,46299
419672,47,47291
413117,48,48282
448760,49,49275
327373,50,50267
447140,51,51267
448079,52,52266
429874,53,53265
422264,54,54264
447381,55,55262
400514,56,56255
448508,57,57255
447831,58,58250
445737,59,59247
407832,60,60238
434197,61,61236
446689,62,62236
446332,63,63234
449044,64,64231
441990,65,65228
400195,66,66227
438774,67,67226
295597,68,68225
446134,69,69223
386669,70,70205
447863,71,71203
448701,72,72203
363904,73,73198
391846,74,74197
443838,75,75191
447874,76,76190
428047,77,77189
418710,78,78188
426553,79,79187
440033,80,80187
447637,81,81181
444617,82,82179
445783,83,83178
422327,84,84175
426155,85,85175
328545,86,86174
440557,87,87174
439684,88,88169
447880,89,89169
448871,90,90167
446127,91,91159
447807,92,92159
420846,93,93158
446967,94,94153
383237,95,95152
447421,96,96152
447975,97,97152
448678,98,98152
441319,99,99148
448282,100,100148
447254,101,101147
448199,102,102145
294913,103,103144
360017,104,104143
435710,105,105143
447872,106,106143
448036,107,107143
421480,108,108142
448101,109,109142
430697,110,110141
447876,111,111140
448281,112,112140
431109,113,113138
438926,114,114138
447625,115,115138
381633,116,116137
413109,117,117137
442067,118,118135
380433,119,119134
446777,120,120133
375384,121,121132
445476,122,122130
448986,123,123130
318634,124,124129
441750,125,125127
444311,126,126127
434597,127,127125
437972,128,128124
441104,129,129124
448684,130,130124
420281,131,131123
444622,132,132123
443844,133,133122
446427,134,134121
364170,135,135120
448737,136,136120
447132,137,137119
374523,138,138118
372769,139,139116
420685,140,140115
446280,141,141114
433420,142,142112
443403,143,143112
447861,144,144112
394255,145,145111
364968,146,146110
370848,147,147110
415736,148,148110
426595,149,149110
421307,150,150109
438869,151,151109
447152,152,152107
375582,153,153105
441510,154,154105
449043,155,155105
445479,156,156104
419697,157,157103
422138,158,158103
375472,159,159101
420549,160,160101
395385,161,161100
438482,162,162100
447081,163,163100
445050,164,16498
425454,165,16596
365914,166,16695
439096,167,16795
447463,168,16895
420802,169,16994
423488,170,17094
447844,171,17194
420922,172,17293
420908,173,17392
424260,174,17492
439104,175,17592
443840,176,17692
374207,177,17791
382937,178,17891
383811,179,17990
407799,180,18090
425785,181,18190
420679,182,18289
434788,183,18389
444319,184,18489
448069,185,18589
417134,186,18688
245095,187,18787
379765,188,18886
427037,189,18986
446979,190,19086
448400,191,19186
448418,192,19286
378751,193,19385
401065,194,19485
420094,195,19585
449042,196,19685
358690,197,19784
378140,198,19884
447478,199,19984
416817,200,20083
448739,1,15155
448841,2,21667
412118,3,31327
448615,4,41280
448914,5,51122
386544,6,6962
448217,7,7900
379704,8,8687
291216,9,9663
420768,10,10620
410796,11,11540
448499,12,12540
440380,13,13506
448993,14,14457
400192,15,15447
448404,16,16419
440044,17,17383
375063,18,18372
381338,19,19369
420648,20,20353
431998,21,21353
448407,22,22348
403060,23,23322
421229,24,24315
377006,25,25314
446694,26,26312
419882,27,27303
441775,28,28300
447573,29,29299
419672,30,30291
413117,31,31282
327373,32,32267
447140,33,33267
429874,34,34265
422264,35,35264
400514,36,36255
407832,37,37238
434197,38,38236
446689,39,39236
446332,40,40234
441990,41,41228
400195,42,42227
438774,43,43226
386669,44,44205
391846,45,45197
428047,46,46189
418710,47,47188
426553,48,48187
447637,49,49181
444617,50,50179
445783,51,51178
422327,52,52175
328545,53,53174
439684,54,54169
448871,55,55167
420846,56,56158
383237,57,57152
447421,58,58152
447975,59,59152
294913,60,60144
360017,61,61143
435710,62,62143
448036,63,63143
431109,64,64138
413109,65,65137
375384,66,66132
445476,67,67130
441750,68,68127
434597,69,69125
448684,70,70124
420281,71,71123
447132,72,72119
372769,73,73116
420685,74,74115
433420,75,75112
394255,76,76111
415736,77,77110
426595,78,78110
421307,79,79109
375582,80,80105
445479,81,81104
422138,82,82103
375472,83,83101
420549,84,84101
395385,85,85100
365914,86,8695
439096,87,8795
420802,88,8894
423488,89,8994
420922,90,9093
420908,91,9192
439104,92,9292
382937,93,9391
383811,94,9490
407799,95,9590
420679,96,9689
444319,97,9789
417134,98,9888
245095,99,9987
379765,100,10086
427037,101,10186
446979,102,10286
448400,103,10386
401065,104,10485
447478,105,10584
445911,106,10683
398568,107,10782
321676,108,10881
383577,109,10981
327393,110,11080
424632,111,11179
443478,112,11279
320309,113,11377
417891,114,11477
327388,115,11576
378402,116,11676
392585,117,11776
437401,118,11876
440048,119,11976
429014,120,12075
420450,121,12174
425029,122,12274
448847,123,12374
427850,124,12473
318088,125,12572
383829,126,12672
423468,127,12772
424528,128,12872
445548,129,12972
407009,130,13071
327391,131,13170
375168,132,13270
382778,133,13370
437814,134,13470
448718,135,13570
375178,136,13669
375752,137,13769
352387,138,13868
377002,139,13968
432221,140,14068
443286,141,14168
420695,142,14267
378430,143,14366
424801,144,14466
338299,145,14565
421462,146,14664
368075,147,14763
423504,148,14863
438565,149,14963
446573,150,15063
