ID,Rank,Sales
223654,1,1603014
89110,2,2470812
244126,3,3364702
271881,4,4318405
203703,5,5317786
181275,6,6312077
214906,7,7311323
253427,8,8306399
292869,9,9298491
229334,10,10296409
218370,11,11278759
265837,12,12278019
92642,13,13273603
343394,14,14267815
226582,15,15258353
196794,16,16257828
55537,17,17254326
189257,18,18252662
210959,19,19249324
204120,20,20248343
236960,21,21244548
230937,22,22241764
216583,23,23233296
63787,24,24226334
211261,25,25225137
244057,26,26225089
221903,27,27216749
276725,28,28216272
293414,29,29215720
229011,30,30215091
292883,31,31213737
251798,32,32205438
213662,33,33203656
250202,34,34203546
223278,35,35202589
229032,36,36202582
254927,37,37201755
160112,38,38200920
188574,39,39198893
223593,40,40198562
277281,41,41197321
196164,42,42196824
240171,43,43196598
277822,44,44195022
305530,45,45194631
303885,46,46194229
281245,47,47193275
132813,48,48192663
317337,49,49188182
331180,50,50185924
293551,51,51185156
240196,52,52185134
267310,53,53184927
300492,54,54184734
309099,55,55184347
309509,56,56183934
219782,57,57183301
270350,58,58181715
221391,59,59181316
200054,60,60181220
250599,61,61180423
250229,62,62180153
185417,63,63179840
301106,64,64178878
337897,65,65177880
252549,66,66177699
62033,67,67176083
245108,68,68175142
251751,69,69174493
236780,70,70174410
213462,71,71174327
187248,72,72174151
204251,73,73173675
205195,74,74172478
251920,75,75171246
201266,76,76171194
284333,77,77171023
232661,78,78170716
234870,79,79170661
223796,80,80170122
40528,81,81169084
237714,82,82168429
299869,83,83167707
237335,84,84167634
238446,85,85167126
336490,86,86164873
337402,87,87164501
244973,88,88164325
268346,89,89163984
338292,90,90163465
259159,91,91163439
249304,92,92162950
204104,93,93162889
270922,94,94162832
310997,95,95162358
212622,96,96161261
274781,97,97161143
157829,98,98160246
231163,99,99160020
268426,100,100159795
58535,101,101158614
260297,102,102158132
204040,103,103156956
264756,104,104156818
127962,105,105156666
279454,106,106156307
269079,107,107154686
277357,108,108154108
158536,109,109153640
236840,110,110153574
258834,111,111153507
252799,112,112153262
187378,113,113153212
215540,114,114153014
212617,115,115152018
280489,116,116151917
230632,117,117151559
197113,118,118151057
125000,119,119150749
246193,120,120150469
309224,121,121150254
249313,122,122150221
282196,123,123150025
340582,124,124149975
291216,125,125149785
240076,126,126149696
218523,127,127149604
208552,128,128149235
289722,129,129149202
368449,130,130149152
293967,131,131149099
251251,132,132148570
361799,133,133148017
257427,134,134147775
108615,135,135147052
291350,136,136146994
233109,137,137146536
206854,138,138146438
189324,139,139145873
318984,140,140145764
197355,141,141145723
213272,142,142144750
126211,143,143144405
187543,144,144144388
154483,?????,?????144320
346095,146,146143707
271374,147,147143411
249329,148,148142731
268489,149,149142654
158931,150,150142523
213564,151,151142488
261781,152,152142458
316027,153,153142267
218157,154,154142047
289989,155,155141857
250356,156,156141767
284378,157,157141283
289738,158,158141261
198439,159,159141074
242042,160,160141012
309345,161,161140750
279763,162,162140602
108638,163,163140426
244574,164,164139593
161931,165,165139102
199073,166,166138703
249755,167,167138656
291252,168,168138567
334487,169,169138314
83789,170,170138265
280868,171,171137460
59692,172,172137193
259793,173,173137176
212735,?????,?????136619
270929,175,175136574
218708,176,176136225
196394,177,177135930
281836,178,178135876
292092,179,179135746
223374,180,180135264
125702,181,181134208
255567,182,182134113
133250,183,183134028
201735,184,184133871
221467,185,185133726
237880,186,186133693
263928,187,187133605
156740,188,188133536
216060,189,189133380
128743,190,190133378
336494,191,191132450
270339,192,192132448
290545,193,193131808
201852,194,194131794
272394,195,195131666
59827,196,196131378
324162,197,197131222
331390,198,198131222
59274,199,199130421
140261,200,200130094
271881,1,1318405
203703,2,2317786
181275,3,3312077
214906,4,4311323
253427,5,5306399
292869,6,6298491
218370,7,7278759
265837,8,8278019
92642,9,9273603
343394,10,10267815
226582,11,11258353
210959,12,12249324
204120,13,13248343
236960,14,14244548
216583,15,15233296
63787,16,16226334
211261,17,17225137
221903,18,18216749
276725,19,19216272
293414,20,20215720
292883,21,21213737
251798,22,22205438
213662,23,23203656
223278,24,24202589
254927,25,25201755
188574,26,26198893
223593,27,27198562
277281,28,28197321
196164,29,29196824
240171,30,30196598
277822,31,31195022
303885,32,32194229
317337,33,33188182
331180,34,34185924
293551,35,35185156
240196,36,36185134
267310,37,37184927
300492,38,38184734
309099,39,39184347
219782,40,40183301
270350,41,41181715
221391,42,42181316
200054,43,43181220
250599,44,44180423
250229,45,45180153
337897,46,46177880
252549,47,47177699
251751,48,48174493
236780,49,49174410
213462,50,50174327
204251,51,51173675
205195,52,52172478
251920,53,53171246
201266,54,54171194
284333,55,55171023
234870,56,56170661
299869,57,57167707
237335,58,58167634
238446,59,59167126
336490,60,60164873
337402,61,61164501
268346,62,62163984
338292,63,63163465
259159,64,64163439
249304,65,65162950
270922,66,66162832
212622,67,67161261
274781,68,68161143
268426,69,69159795
204040,70,70156956
127962,71,71156666
279454,72,72156307
269079,73,73154686
277357,74,74154108
236840,75,75153574
252799,76,76153262
187378,77,77153212
215540,78,78153014
280489,79,79151917
246193,80,80150469
309224,81,81150254
249313,82,82150221
282196,83,83150025
340582,84,84149975
291216,85,85149785
240076,86,86149696
218523,87,87149604
289722,88,88149202
368449,89,89149152
293967,90,90149099
251251,91,91148570
361799,92,92148017
257427,93,93147775
291350,94,94146994
233109,95,95146536
206854,96,96146438
189324,97,97145873
318984,98,98145764
197355,99,99145723
213272,100,100144750
126211,101,101144405
187543,102,102144388
346095,103,103143707
271374,104,104143411
249329,105,105142731
268489,106,106142654
213564,107,107142488
261781,108,108142458
316027,109,109142267
218157,110,110142047
284378,111,111141283
289738,112,112141261
242042,113,113141012
309345,114,114140750
279763,115,115140602
108638,116,116140426
249755,117,117138656
291252,118,118138567
334487,119,119138314
280868,120,120137460
259793,121,121137176
270929,122,122136574
218708,123,123136225
212735,?????,?????136134
281836,125,125135876
292092,126,126135746
223374,127,127135264
221467,128,128133726
263928,129,129133605
156740,130,130133536
336494,131,131132450
290545,132,132131808
272394,133,133131666
324162,134,134131222
331390,135,135131222
236796,136,136129955
310842,137,137129845
270256,138,138129595
301154,139,139129304
264574,140,140129196
216359,141,141128958
207721,142,142128927
281048,143,143128751
219189,144,144128451
232099,145,145128434
214840,146,146128379
264866,147,147128377
307534,148,148128347
310769,149,149127948
275515,150,150127704
158953,151,151127480
290139,152,152125172
215531,153,153124376
358384,154,154124259
276872,155,155123499
262310,156,156123018
181691,157,157122409
321124,158,158122314
338073,159,159122296
117445,160,160122252
249869,161,161121721
252354,162,162121398
246435,163,163121098
335628,164,164121017
191315,165,165121004
206329,166,166120956
248136,167,167120592
254380,168,168120203
253501,169,169119693
270351,170,170119234
304585,171,171119153
198491,172,172119029
251948,173,173118900
320307,174,174118659
321679,175,175118525
299408,176,176118304
335100,177,177117988
279019,178,178117371
223069,179,179117358
239394,180,180117077
201159,181,181116901
313671,182,182116271
288414,183,183116269
279602,184,184115903
243980,185,185115893
304278,186,186115018
317766,187,187114919
227659,188,188114547
270602,189,189114537
219161,190,190114085
358826,191,191113857
279011,192,192113221
91423,193,193112879
196944,194,194111981
349850,195,195111954
242242,196,196111775
202874,197,197111477
145543,198,198111283
261383,199,199110274
239183,200,200110199
124106,1,120255
288359,2,218006
262577,3,317392
218192,4,415317
333871,5,514749
252918,6,613348
268829,7,79577
24100,8,89538
20433,9,98593
70270,10,106972
124452,11,116793
125623,12,126678
125032,13,136633
197557,14,146383
187235,15,156178
245952,16,166047
45598,17,175869
419158,18,185703
184293,19,195479
94179,20,205178
20414,21,215016
332765,22,224851
327167,23,234828
16788,24,244538
297161,25,254461
32484,26,264444
253454,27,274442
318431,28,284227
289058,29,294212
207709,30,304187
212945,31,314141
128597,32,324123
31153,33,334108
370672,34,343974
32188,35,353947
128152,36,363947
182801,37,373927
42179,38,383894
229018,39,393844
207768,40,403834
233185,41,413831
93357,42,423775
191521,43,433770
226442,44,443768
242800,45,453768
69274,46,463758
283467,47,473728
210535,48,483723
194401,49,493722
37563,50,503719
248279,51,513703
345357,52,523656
62805,53,533535
221871,54,543495
299588,55,553484
24960,56,563378
17416,57,573368
276160,58,583302
54147,59,593299
26675,60,603297
95395,61,613282
224867,62,623271
95095,63,633220
262535,64,643142
54028,65,653139
50830,66,663138
287088,67,673108
171769,68,683080
195752,69,693054
246052,70,702924
27489,71,712885
268144,72,722848
30270,73,732838
66348,74,742818
241702,75,752800
85899,76,762761
17827,77,772757
24267,78,782716
196232,79,792704
303339,80,802701
33724,81,812695
146701,82,822690
201564,83,832642
102609,84,842624
80658,85,852592
17961,86,862591
94512,87,872536
38397,88,882534
421831,89,892534
135446,90,902532
238197,91,912518
72678,92,922511
36753,93,932427
193866,94,942416
239651,95,952376
74936,96,962349
203008,97,972332
