ID,Rank,Sales
223654,1,1603367
89110,2,2474662
244126,3,3365012
271881,4,4319261
203703,5,5317993
181275,6,6312087
214906,7,7311323
253427,8,8306692
292869,9,9298561
229334,10,10296668
218370,11,11279038
265837,12,12278086
92642,13,13273603
343394,14,14268987
226582,15,15258363
196794,16,16257974
55537,17,17254463
189257,18,18252906
210959,19,19249324
204120,20,20248345
236960,21,21244567
230937,22,22241974
216583,23,23233401
63787,24,24226334
244057,25,25225225
211261,26,26225140
221903,27,27216752
276725,28,28216297
293414,29,29215735
229011,30,30215220
292883,31,31213784
140261,32,32206686
251798,33,33205514
250202,34,34203793
213662,35,35203656
229032,36,36202683
223278,37,37202602
254927,38,38201780
160112,39,39200947
188574,40,40198923
223593,41,41198574
277281,42,42197325
196164,43,43196824
240171,44,44196598
277822,45,45195041
305530,46,46194648
303885,47,47194326
132813,48,48193990
281245,49,49193482
317337,50,50188202
331180,51,51185948
293551,52,52185176
240196,53,53185143
267310,54,54184935
300492,55,55184751
309099,56,56184378
309509,57,57183952
219782,58,58183311
270350,59,59181751
221391,60,60181473
200054,61,61181221
250599,62,62180428
250229,63,63180163
185417,64,64179853
301106,65,65178916
337897,66,66177996
252549,67,67177703
62033,68,68176088
245108,69,69175399
251751,70,70174548
236780,71,71174477
213462,72,72174327
187248,73,73174226
204251,74,74173675
205195,75,75172481
251920,76,76171251
201266,77,77171194
284333,78,78171032
232661,79,79170840
234870,80,80170661
223796,81,81170188
40528,82,82169093
237714,83,83168443
237335,84,84167773
299869,85,85167751
238446,86,86167286
336490,87,87164989
337402,88,88164547
244973,89,89164339
338292,90,90164204
268346,91,91163993
259159,92,92163446
204104,93,93162974
249304,94,94162961
270922,95,95162861
310997,96,96162385
212622,97,97161261
274781,98,98161152
157829,99,99160851
231163,100,100160087
268426,101,101159974
58535,102,102158623
260297,103,103158281
264756,104,104156968
204040,105,105156956
127962,106,106156675
279454,107,107156316
236840,108,108154828
269079,109,109154701
158536,110,110154565
277357,111,111154160
258834,112,112153577
125000,113,113153438
252799,114,114153285
187378,115,115153216
215540,116,116153017
212617,117,117152021
280489,118,118151974
230632,119,119151628
197113,120,120151104
246193,121,121151084
291216,122,122151030
309224,123,123150336
249313,124,124150232
282196,125,125150027
340582,126,126149982
208552,127,127149959
240076,128,128149696
218523,129,129149607
368449,130,130149602
289722,131,131149526
293967,132,132149107
251251,133,133148577
108615,134,134148293
361799,135,135148031
132800,136,136147795
257427,137,137147775
291350,138,138147032
233109,139,139146537
206854,140,140146438
189324,141,141145873
318984,142,142145783
197355,143,143145728
213272,144,144144759
126211,145,145144405
154483,?????,?????144399
187543,147,147144388
346095,148,148143793
271374,149,149143455
249329,150,150142875
158931,151,151142831
268489,152,152142659
213564,153,153142519
261781,154,154142462
316027,155,155142271
218157,156,156142047
250356,157,157141873
289989,158,158141863
284378,159,159141303
289738,160,160141269
198439,161,161141078
242042,162,162141069
309345,163,163140766
279763,164,164140611
108638,165,165140426
244574,166,166139596
161931,167,167139108
249755,168,168138777
199073,169,169138709
291252,170,170138587
334487,171,171138385
83789,172,172138265
280868,173,173137470
59692,174,174137200
259793,175,175137176
212735,?????,?????136619
270929,177,177136586
218708,178,178136228
292092,179,179136077
281836,180,180135935
196394,181,181135930
133250,182,182135411
223374,183,183135271
128743,184,184135117
125702,185,185134999
255567,186,186134344
237880,187,187133970
201735,188,188133901
221467,189,189133899
263928,190,190133610
156740,191,191133572
216060,192,192133387
270339,193,193132644
336494,194,194132458
290545,195,195131822
201852,196,196131806
272394,197,197131700
59827,198,198131425
331390,199,199131324
324162,200,200131243
271881,1,1319261
203703,2,2317993
181275,3,3312087
214906,4,4311323
253427,5,5306692
292869,6,6298561
218370,7,7279038
265837,8,8278086
92642,9,9273603
343394,10,10268987
226582,11,11258363
210959,12,12249324
204120,13,13248345
236960,14,14244567
216583,15,15233401
63787,16,16226334
211261,17,17225140
221903,18,18216752
276725,19,19216297
293414,20,20215735
292883,21,21213784
251798,22,22205514
213662,23,23203656
223278,24,24202602
254927,25,25201780
188574,26,26198923
223593,27,27198574
277281,28,28197325
196164,29,29196824
240171,30,30196598
277822,31,31195041
303885,32,32194326
317337,33,33188202
331180,34,34185948
293551,35,35185176
240196,36,36185143
267310,37,37184935
300492,38,38184751
309099,39,39184378
219782,40,40183311
270350,41,41181751
221391,42,42181473
200054,43,43181221
250599,44,44180428
250229,45,45180163
337897,46,46177996
252549,47,47177703
251751,48,48174548
236780,49,49174477
213462,50,50174327
204251,51,51173675
205195,52,52172481
251920,53,53171251
201266,54,54171194
284333,55,55171032
234870,56,56170661
237335,57,57167773
299869,58,58167751
238446,59,59167286
336490,60,60164989
337402,61,61164547
338292,62,62164204
268346,63,63163993
259159,64,64163446
249304,65,65162961
270922,66,66162861
212622,67,67161261
274781,68,68161152
268426,69,69159974
204040,70,70156956
127962,71,71156675
279454,72,72156316
236840,73,73154828
269079,74,74154701
277357,75,75154160
252799,76,76153285
187378,77,77153216
215540,78,78153017
280489,79,79151974
246193,80,80151084
291216,81,81151030
309224,82,82150336
249313,83,83150232
282196,84,84150027
340582,85,85149982
240076,86,86149696
218523,87,87149607
368449,88,88149602
289722,89,89149526
293967,90,90149107
251251,91,91148577
361799,92,92148031
257427,93,93147775
291350,94,94147032
233109,95,95146537
206854,96,96146438
189324,97,97145873
318984,98,98145783
197355,99,99145728
213272,100,100144759
126211,101,101144405
187543,102,102144388
346095,103,103143793
271374,104,104143455
249329,105,105142875
268489,106,106142659
213564,107,107142519
261781,108,108142462
316027,109,109142271
218157,110,110142047
284378,111,111141303
289738,112,112141269
242042,113,113141069
309345,114,114140766
279763,115,115140611
108638,116,116140426
249755,117,117138777
291252,118,118138587
334487,119,119138385
280868,120,120137470
259793,121,121137176
270929,122,122136586
218708,123,123136228
212735,?????,?????136134
292092,125,125136077
281836,126,126135935
223374,127,127135271
221467,128,128133899
263928,129,129133610
156740,130,130133572
336494,131,131132458
290545,132,132131822
272394,133,133131700
331390,134,134131324
324162,135,135131243
236796,136,136130165
310842,137,137129848
270256,138,138129603
301154,139,139129323
264574,140,140129283
216359,141,141128958
207721,142,142128927
281048,143,143128776
219189,144,144128459
232099,145,145128434
264866,146,146128409
214840,147,147128385
307534,148,148128348
310769,149,149127959
275515,150,150127709
158953,151,151127510
290139,152,152125180
215531,153,153124376
358384,154,154124265
276872,155,155123527
262310,156,156123024
321124,157,157122414
338073,158,158122413
181691,159,159122409
117445,160,160122255
249869,161,161121767
252354,162,162121433
246435,163,163121100
335628,164,164121026
191315,165,165121005
206329,166,166120959
248136,167,167120670
254380,168,168120507
321679,169,169119734
253501,170,170119701
270351,171,171119327
304585,172,172119324
198491,173,173119035
251948,174,174118905
320307,175,175118709
299408,176,176118518
335100,177,177118011
239394,178,178117620
279019,179,179117375
223069,180,180117358
201159,181,181116901
313671,182,182116280
288414,183,183116272
243980,184,184115990
279602,185,185115905
317766,186,186115243
304278,187,187115019
227659,188,188114547
270602,189,189114544
219161,190,190114095
358826,191,191113859
279011,192,192113258
91423,193,193112927
196944,194,194112070
349850,195,195111959
242242,196,196111864
202874,197,197111481
145543,198,198111287
377006,199,199111093
340724,200,200110480
124106,1,120260
288359,2,218016
